2014-04-17,16424.14,16460.49,16368.14,16408.54,136190000
2014-04-21,16408.92,16459.78,16402.08,16449.25,79500000
2014-04-22,16449.38,16565.71,16449.38,16514.37,84830000
2014-04-23,16513.73,16525.99,16477.28,16501.65,76830000
2014-04-24,16503.39,16541.26,16452.3,16501.65,80340000
2014-04-25,16503.26,16503.26,16333.78,16361.46,90630000
2014-04-28,16363.2,16500.37,16312.66,16448.74,105510000
2014-04-29,16451.18,16559.39,16451.18,16535.37,71240000
2014-04-30,16534.86,16592.28,16510.87,16580.84,92970000
2014-05-01,16580.26,16604.79,16525.25,16558.87,75630000
2014-05-02,16562.34,16620.06,16488.31,16512.89,78910000
2014-05-05,16509.75,16547.92,16377.09,16530.55,70320000
2014-05-06,16529.85,16529.85,16399.99,16401.02,74340000
2014-05-07,16401.66,16522.94,16357.35,16518.54,93870000
2014-05-08,16518.16,16622.95,16502.01,16550.97,75620000
2014-05-09,16551.23,16588.77,16498.71,16583.34,74980000
2014-05-12,16584.82,16704.84,16584.82,16695.47,71550000
2014-05-13,16695.92,16735.51,16695.92,16715.44,71340000
2014-05-14,16716.08,16717.56,16595.0,16613.97,71970000
2014-05-15,16613.52,16622.9,16397.46,16446.81,106610000
2014-05-16,16447.32,16498.99,16414.32,16491.31,119330000
2014-05-19,16490.35,16526.26,16442.12,16511.86,82180000
2014-05-20,16511.22,16511.22,16341.3,16374.31,75150000
2014-05-21,16376.17,16544.6,16376.17,16533.06,76730000
2014-05-22,16532.74,16565.39,16489.61,16543.08,59250000
2014-05-23,16544.49,16613.07,16544.49,16606.27,61340000
2014-05-27,16607.42,16688.69,16607.42,16675.5,80870000
2014-05-28,16674.98,16674.98,16620.22,16633.18,62480000
2014-05-29,16637.74,16698.74,16620.43,16698.74,55500000
2014-05-30,16697.33,16721.22,16648.85,16717.17,105190000
2014-06-02,16716.85,16756.64,16682.07,16743.63,57560000
2014-06-03,16736.7,16736.7,16690.01,16722.34,67830000
2014-06-04,16720.0,16742.91,16673.65,16737.53,65570000
2014-06-05,16739.14,16845.81,16709.95,16836.11,70460000
2014-06-06,16839.64,16924.28,16839.64,16924.28,80530000
2014-06-09,16926.08,16970.17,16912.92,16943.1,67130000
2014-06-10,16940.4,16946.34,16897.44,16945.92,64560000
2014-06-11,16943.16,16943.16,16821.85,16843.88,61860000
2014-06-12,16840.48,16841.57,16703.73,16734.19,72560000
2014-06-13,16734.64,16787.89,16718.6,16775.74,95220000
2014-06-16,16765.56,16802.14,16722.86,16781.01,77900000
2014-06-17,16779.21,16823.55,16732.91,16808.49,63530000
2014-06-18,16806.12,16911.41,16755.29,16906.62,73720000
2014-06-19,16909.9,16923.43,16858.88,16921.46,80220000
2014-06-20,16920.62,16978.02,16920.62,16947.08,247350000
2014-06-23,16946.5,16954.27,16896.09,16937.26,63640000
2014-06-24,16934.62,16969.7,16805.23,16818.13,80220000
2014-06-25,16817.68,16883.54,16799.41,16867.51,73920000
2014-06-26,16866.81,16872.52,16746.09,16846.13,63650000
2014-06-27,16846.9,16862.73,16773.84,16851.84,137690000
2014-06-30,16852.49,16871.27,16801.94,16826.6,90360000
2014-07-01,16828.53,16998.7,16828.53,16956.07,74050000
2014-07-02,16949.71,16986.63,16949.71,16976.24,57840000
2014-07-03,16979.0,17074.65,16979.0,17068.26,66800000
2014-07-07,17063.83,17063.83,16992.45,17024.21,61480000
2014-07-08,17022.09,17022.09,16874.79,16906.62,75250000
2014-07-09,16916.83,16998.95,16913.81,16985.61,67120000
2014-07-10,16980.35,16980.35,16805.38,16915.07,67510000
2014-07-11,16918.31,16949.46,16860.3,16943.81,61000000
2014-07-14,16950.93,17088.43,16950.93,17055.42,60570000
2014-07-15,17055.03,17120.34,17006.39,17060.68,101730000
2014-07-16,17061.91,17139.35,17061.91,17138.2,111500000
2014-07-17,17133.45,17151.56,16966.19,16976.81,99240000
2014-07-18,16978.16,17113.51,16977.52,17100.18,112530000
2014-07-21,17095.11,17095.11,16974.34,17051.73,67590000
2014-07-22,17054.97,17133.43,17040.13,17113.54,77960000
2014-07-23,17117.01,17121.05,17058.05,17086.63,73440000
2014-07-24,17092.02,17119.83,17061.07,17083.8,66390000
2014-07-25,17079.5,17082.33,16915.65,16960.57,67290000
2014-07-28,16956.91,17001.38,16877.72,16982.59,66190000
2014-07-29,16984.33,17056.46,16912.11,16912.11,75980000
2014-07-30,16920.11,16983.94,16817.16,16880.36,77750000
2014-07-31,16869.63,16869.63,16563.3,16563.3,101670000
2014-08-01,16561.7,16584.75,16437.07,16493.37,84860000
2014-08-04,16493.72,16596.22,16447.2,16569.28,76260000
2014-08-05,16559.97,16559.97,16369.55,16429.47,76630000
2014-08-06,16425.1,16490.7,16372.32,16443.34,78600000
2014-08-07,16448.29,16504.35,16333.78,16368.27,80430000
2014-08-08,16369.68,16556.59,16364.22,16553.93,82420000
2014-08-11,16557.27,16627.99,16557.27,16569.98,65560000
2014-08-12,16565.55,16589.31,16518.06,16560.54,62770000
2014-08-13,16567.54,16670.29,16567.54,16651.8,66020000
2014-08-14,16657.32,16714.22,16651.67,16713.58,62370000
2014-08-15,16717.01,16775.27,16575.42,16662.91,109180000
2014-08-18,16664.45,16840.28,16664.45,16838.74,75670000
2014-08-19,16839.06,16929.13,16839.06,16919.59,67220000
2014-08-20,16910.03,16994.89,16896.55,16979.13,61960000
2014-08-21,16983.88,17074.59,16983.88,17039.49,65160000
2014-08-22,17038.27,17064.28,16984.52,17001.22,64330000
2014-08-25,17011.81,17124.74,17011.81,17076.87,57400000
2014-08-26,17079.57,17153.8,17079.57,17106.7,50710000
2014-08-27,17111.03,17134.6,17090.61,17122.01,61690000
2014-08-28,17119.06,17119.06,17018.33,17079.57,51860000
2014-08-29,17083.42,17110.42,17035.38,17098.45,81500000
2014-09-02,17097.42,17113.51,17009.07,17067.56,64820000
2014-09-03,17067.24,17151.89,17060.21,17078.28,62770000
2014-09-04,17083.61,17161.55,17030.12,17069.58,68120000
2014-09-05,17065.89,17137.36,17009.62,17137.36,76630000
2014-09-08,17131.71,17137.88,17079.17,17111.42,65640000
2014-09-09,17110.39,17111.55,16993.29,17013.87,69030000
2014-09-10,17016.05,17080.27,16974.57,17068.71,76780000
2014-09-11,17057.41,17057.41,16983.88,17049.0,63650000
2014-09-12,17044.05,17044.05,16937.67,16987.51,82820000
2014-09-15,16988.76,17051.85,16951.38,17031.14,71740000
2014-09-16,17027.16,17167.05,16985.55,17131.97,73200000
2014-09-17,17131.01,17221.11,17089.01,17156.85,87810000
2014-09-18,17163.73,17275.37,17163.73,17265.99,85300000
2014-09-19,17267.21,17350.64,17257.46,17279.74,349620000
2014-09-22,17271.71,17277.88,17159.36,17172.68,74300000
2014-09-23,17165.91,17171.88,17055.87,17055.87,77090000
2014-09-24,17056.64,17226.6,17033.93,17210.06,80530000
2014-09-25,17204.86,17204.86,16945.8,16945.8,93520000
2014-09-26,16948.62,17148.15,16948.11,17113.15,74670000
2014-09-29,17107.69,17107.69,16934.43,17071.22,70220000
2014-09-30,17070.45,17145.1,17017.11,17042.9,102290000
2014-10-01,17040.46,17041.16,16776.13,16804.71,104240000
2014-10-02,16808.27,16857.25,16674.04,16801.05,75490000
2014-10-03,16802.2,17027.84,16802.2,17009.69,87940000
2014-10-06,17010.34,17099.39,16930.38,16991.91,655450000
2014-10-07,16988.25,16988.25,16715.79,16719.39,79420000
2014-10-08,16718.65,17006.91,16663.26,16994.22,106930000
2014-10-09,16989.37,16989.37,16649.04,16659.25,93210000
2014-10-10,16654.88,16757.6,16543.91,16544.1,136370000
2014-10-13,16535.43,16602.41,16310.47,16321.07,107830000
2014-10-14,16321.9,16463.67,16273.64,16315.19,110410000
2014-10-15,16313.3,16313.3,15855.12,16141.74,160380000
2014-10-16,16137.14,16211.12,15935.22,16117.24,131670000
2014-10-17,16118.39,16427.38,16118.39,16380.41,137910000
2014-10-20,16373.15,16401.63,16260.54,16399.67,94320000
2014-10-21,16406.03,16620.78,16405.77,16614.81,105110000
2014-10-22,16615.26,16653.89,16459.85,16461.32,92050000
2014-10-23,16468.07,16767.52,16468.07,16677.9,99420000
2014-10-24,16677.04,16811.71,16649.72,16805.41,90400000
2014-10-27,16796.1,16836.98,16729.83,16817.94,72580000
2014-10-28,16825.19,17006.45,16825.19,17005.75,83870000
2014-10-29,17005.07,17065.5,16895.38,16974.31,76450000
2014-10-30,16968.14,17223.96,16920.76,17195.42,80180000
2014-10-31,17208.78,17395.54,17208.78,17390.52,121610000
2014-11-03,17390.9,17410.65,17339.85,17366.24,80030000
2014-11-04,17368.81,17397.23,17278.36,17383.84,81390000
2014-11-05,17385.76,17486.59,17385.76,17484.53,76030000
2014-11-06,17491.66,17560.31,17440.35,17554.47,70670000
2014-11-07,17558.58,17575.33,17493.37,17573.93,82860000
2014-11-10,17568.98,17621.87,17547.51,17613.74,71430000
2014-11-11,17615.64,17638.21,17584.94,17614.9,52880000
2014-11-12,17604.75,17626.71,17536.17,17612.2,75980000
2014-11-13,17618.69,17705.48,17583.88,17652.79,80540000
2014-11-14,17653.11,17664.15,17613.2,17634.74,72850000
2014-11-17,17631.85,17675.07,17606.81,17647.75,70330000
2014-11-18,17643.09,17735.71,17642.03,17687.82,87420000
2014-11-19,17685.51,17712.26,17624.5,17685.73,73780000
2014-11-20,17677.32,17720.44,17603.89,17719.0,77740000
2014-11-21,17721.02,17894.83,17721.02,17810.06,140940000
2014-11-24,17812.63,17855.27,17793.19,17817.9,85510000
2014-11-25,17819.05,17854.73,17790.89,17814.94,88190000
2014-11-26,17812.25,17833.76,17791.16,17827.75,67450000
2014-11-28,17830.55,17893.42,17807.78,17828.24,80470000
2014-12-01,17827.27,17827.27,17726.55,17776.8,86390000
2014-12-02,17778.85,17897.05,17778.85,17879.55,81970000
2014-12-03,17880.9,17924.15,17855.59,17912.62,99400000
2014-12-04,17910.02,17937.96,17814.81,17900.1,76270000
2014-12-05,17903.05,17991.19,17903.05,17958.79,79110000
2014-12-08,17954.94,17960.56,17804.28,17852.48,88680000
2014-12-09,17847.37,17847.37,17629.57,17801.2,100400000
2014-12-10,17797.99,17797.99,17508.1,17533.15,115100000
2014-12-11,17534.3,17758.51,17534.3,17596.34,90100000
2014-12-12,17590.05,17590.05,17280.83,17280.83,121950000
2014-12-15,17285.74,17403.54,17115.28,17180.84,114050000
2014-12-16,17173.07,17427.44,17067.59,17068.87,116640000
2014-12-17,17069.16,17389.3,17069.16,17356.87,118220000
2014-12-18,17367.85,17778.4,17367.85,17778.15,123940000
2014-12-19,17778.02,17874.03,17746.55,17804.8,343690000
2014-12-22,17812.25,17962.78,17812.25,17959.44,98460000
2014-12-23,17971.51,18069.22,17970.16,18024.17,82890000
2014-12-24,18035.73,18086.24,18027.78,18030.21,42870000
2014-12-26,18038.3,18103.45,18038.3,18053.71,52570000
2014-12-29,18046.58,18073.04,18021.57,18038.23,53870000
2014-12-30,18035.02,18035.02,17959.7,17983.07,47490000
2014-12-31,17987.66,18043.22,17820.88,17823.07,82840000
2015-01-02,17823.07,17951.78,17731.3,17832.99,76270000
2015-01-05,17821.3,17821.3,17475.93,17501.65,116160000
2015-01-06,17504.18,17581.05,17262.37,17371.64,101870000
2015-01-07,17374.78,17597.08,17374.78,17584.52,91030000
2015-01-08,17591.97,17916.04,17591.97,17907.87,114890000
2015-01-09,17911.02,17915.32,17686.09,17737.37,93390000
2015-01-12,17742.05,17793.88,17571.58,17640.84,92500000
2015-01-13,17645.02,17923.01,17498.23,17613.68,99360000
2015-01-14,17609.06,17609.06,17264.9,17427.09,109180000
2015-01-15,17436.3,17517.41,17298.04,17320.71,94520000
2015-01-16,17320.0,17528.37,17243.55,17511.57,140480000
2015-01-20,17516.96,17588.7,17346.73,17515.23,119600000
2015-01-21,17509.96,17599.58,17396.04,17554.28,95530000
2015-01-22,17557.29,17840.89,17482.54,17813.98,111980000
2015-01-23,17812.5,17812.5,17667.53,17672.6,97110000
2015-01-26,17668.11,17696.36,17567.6,17678.7,87220000
2015-01-27,17638.53,17638.53,17288.31,17387.21,135940000
2015-01-28,17402.91,17484.41,17189.0,17191.37,115980000
2015-01-29,17195.29,17433.13,17136.3,17416.85,111690000
2015-01-30,17416.85,17419.9,17156.82,17164.95,168560000
2015-02-02,17169.99,17367.68,17037.76,17361.04,108090000
2015-02-03,17369.97,17670.76,17369.97,17666.4,112860000
2015-02-04,17664.99,17782.22,17603.21,17673.02,102560000
2015-02-05,17677.26,17889.58,17677.26,17884.88,79890000
2015-02-06,17881.54,17951.09,17764.4,17824.29,93610000
2015-02-09,17821.49,17821.49,17685.32,17729.21,81590000
2015-02-10,17736.15,17890.34,17729.24,17868.76,89930000
2015-02-11,17867.86,17897.21,17759.65,17862.14,89890000
2015-02-12,17862.14,17975.65,17862.14,17972.38,117160000
2015-02-13,17968.65,18037.41,17961.76,18019.35,85230000
2015-02-17,18019.8,18052.01,17951.41,18047.58,98760000
2015-02-18,18045.72,18048.7,17982.2,18029.85,75090000
2015-02-19,18028.67,18028.67,17924.6,17985.77,79130000
2015-02-20,17985.77,18144.29,17878.37,18140.44,111390000
2015-02-23,18140.76,18141.21,18054.84,18116.84,83670000
2015-02-24,18112.57,18231.09,18098.73,18209.19,79310000
2015-02-25,18208.67,18244.38,18182.76,18224.57,80480000
2015-02-26,18224.41,18239.43,18157.07,18214.42,81500000
2015-02-27,18213.26,18213.26,18132.38,18132.7,101110000
2015-03-02,18134.05,18288.63,18122.59,18288.63,89790000
2015-03-03,18281.95,18281.95,18136.88,18203.37,83830000
2015-03-04,18203.37,18203.37,18029.5,18096.9,80900000
2015-03-05,18096.9,18160.35,18087.65,18135.72,75840000
2015-03-06,18135.72,18135.72,17825.15,17856.78,113350000
2015-03-09,17856.56,18031.04,17856.56,17995.72,85820000
2015-03-10,17989.56,17989.56,17662.94,17662.94,120450000
2015-03-11,17662.94,17731.78,17627.0,17635.39,102120000
2015-03-12,17626.84,17900.1,17620.49,17895.22,111550000
2015-03-13,17889.05,17889.05,17629.89,17749.31,113620000
2015-03-16,17751.24,17988.5,17751.24,17977.42,101760000
2015-03-17,17972.22,17972.22,17785.79,17849.08,82560000
2015-03-18,17846.8,18097.12,17697.52,18076.19,130950000
2015-03-19,18072.58,18072.99,17934.24,17959.03,107820000
2015-03-20,17961.13,18197.29,17961.13,18127.65,333870000
2015-03-23,18136.73,18205.93,18116.04,18116.04,98030000
2015-03-24,18110.87,18149.24,18010.44,18011.14,87190000
2015-03-25,18012.61,18041.97,17718.54,17718.54,106560000
2015-03-26,17716.27,17759.51,17579.27,17678.23,117740000
2015-03-27,17673.63,17729.14,17630.49,17712.66,103220000
2015-03-30,17727.48,18008.64,17727.48,17976.31,104040000
2015-03-31,17965.37,17965.37,17773.02,17776.12,119470000
2015-04-01,17778.52,17778.52,17585.01,17698.18,103360000
2015-04-02,17699.52,17815.03,17673.49,17763.24,87370000
2015-04-06,17755.5,17941.79,17646.8,17880.85,100850000
2015-04-07,17884.32,17983.12,17871.21,17875.42,72150000
2015-04-08,17877.62,17976.2,17822.23,17902.51,76820000
2015-04-09,17902.51,17984.22,17823.1,17958.73,86740000
2015-04-10,17956.73,18066.76,17945.55,18057.65,116410000
2015-04-13,18052.32,18107.57,17974.81,17977.04,120090000
2015-04-14,17979.11,18075.6,17905.48,18036.7,82830000
2015-04-15,18045.71,18160.52,18045.71,18112.61,113610000
2015-04-16,18106.27,18169.26,18063.86,18105.77,89520000
2015-04-17,18102.56,18102.56,17748.53,17826.3,138860000
2015-04-20,17841.18,18092.22,17841.18,18034.93,103160000
2015-04-21,18034.23,18109.7,17929.63,17949.59,95180000
2015-04-22,17950.82,18056.02,17887.76,18038.27,91260000
2015-04-23,18031.9,18133.03,17966.77,18058.69,100240000
2015-04-24,18056.42,18108.87,18009.08,18080.14,119130000
2015-04-27,18097.89,18175.56,18024.66,18037.97,121110000
2015-04-28,18035.9,18119.65,17917.36,18110.14,124930000
2015-04-29,18093.69,18096.46,17953.69,18035.53,102080000
2015-04-30,18033.33,18033.33,17774.89,17840.52,129180000
2015-05-01,17859.27,18028.89,17859.27,18024.06,91700000
2015-05-04,18026.02,18133.76,18026.02,18070.4,86010000
2015-05-05,18062.53,18086.01,17905.71,17928.2,95340000
2015-05-06,17934.81,18019.75,17733.12,17841.98,100430000
2015-05-07,17840.25,17973.07,17796.94,17924.06,80920000
2015-05-08,17933.64,18205.23,17933.64,18191.11,94960000
2015-05-11,18187.78,18199.95,18089.11,18105.17,86050000
2015-05-12,18096.16,18119.18,17924.8,18068.23,89270000
2015-05-13,18070.37,18132.79,18039.2,18060.49,85180000
2015-05-14,18062.49,18255.21,18062.49,18252.24,91580000
2015-05-15,18251.97,18272.72,18215.07,18272.56,108220000
2015-05-18,18267.25,18325.54,18244.26,18298.88,79080000
2015-05-19,18300.48,18351.36,18261.35,18312.39,87200000
2015-05-20,18315.06,18350.13,18272.56,18285.4,80190000
2015-05-21,18285.87,18314.89,18249.9,18285.74,84270000
2015-05-22,18286.87,18286.87,18217.14,18232.02,78890000
2015-05-26,18229.75,18229.75,17990.02,18041.54,109440000
2015-05-27,18045.08,18190.35,18045.08,18162.99,96400000
2015-05-28,18154.14,18154.14,18066.4,18126.12,67510000
2015-05-29,18128.12,18128.12,17967.74,18010.68,139810000
2015-06-01,18017.82,18105.83,17982.06,18040.37,85640000
2015-06-02,18033.33,18091.87,17925.33,18011.94,77550000
2015-06-03,18018.42,18168.09,18010.42,18076.27,73120000
2015-06-04,18072.47,18087.15,17876.95,17905.58,93470000
2015-06-05,17905.38,17940.78,17822.9,17849.46,89140000
2015-06-08,17849.46,17852.35,17760.61,17766.55,86300000
2015-06-09,17766.95,17817.83,17714.97,17764.04,90550000
2015-06-10,17765.38,18045.14,17765.38,18000.4,96980000
2015-06-11,18001.27,18109.77,18001.27,18039.37,89490000
2015-06-12,18035.83,18035.83,17857.07,17898.84,83760000
2015-06-15,17890.76,17890.76,17698.42,17791.17,91920000
2015-06-16,17787.43,17919.62,17774.12,17904.48,77510000
2015-06-17,17909.58,17998.0,17839.65,17935.74,92410000
2015-06-18,17944.61,18174.73,17944.61,18115.84,94460000
2015-06-19,18116.24,18117.71,18010.58,18015.95,258300000
2015-06-22,18027.63,18181.67,18027.63,18119.78,77780000
2015-06-23,18121.78,18188.81,18108.1,18144.07,75970000
2015-06-24,18139.1,18139.1,17966.07,17966.07,104980000
2015-06-25,17977.11,18036.1,17890.36,17890.36,78990000
2015-06-26,17892.03,18013.15,17892.03,17946.68,158120000
2015-06-29,17936.74,17936.74,17590.55,17596.35,116340000
2015-06-30,17599.96,17714.66,17576.5,17619.51,126460000
2015-07-01,17638.12,17801.83,17638.12,17757.91,87010000
2015-07-02,17763.32,17825.49,17687.52,17730.11,83080000
2015-07-06,17728.08,17734.36,17564.36,17683.58,90130000
2015-07-07,17684.92,17793.45,17465.68,17776.91,105840000
2015-07-08,17759.01,17759.01,17496.22,17515.42,69830000
2015-07-09,17530.38,17764.85,17530.38,17548.62,100520000
2015-07-10,17561.12,17797.49,17561.12,17760.41,85800000
2015-07-13,17787.27,17987.57,17787.27,17977.68,86380000
2015-07-14,17974.61,18072.82,17956.17,18053.58,76740000
2015-07-15,18053.38,18090.39,18010.15,18050.17,80460000
2015-07-16,18078.16,18131.61,18065.33,18120.25,85030000
2015-07-17,18117.58,18121.12,18032.06,18086.45,106510000
2015-07-20,18085.91,18137.12,18064.5,18100.41,75060000
2015-07-21,18096.67,18096.67,17868.34,17919.29,100170000
2015-07-22,17918.35,17919.35,17807.41,17851.04,112370000
2015-07-23,17853.78,17860.95,17705.03,17731.92,88600000
2015-07-24,17731.05,17756.54,17553.73,17568.53,103470000
2015-07-27,17561.78,17561.78,17399.17,17440.59,117860000
2015-07-28,17449.81,17650.07,17449.81,17630.27,103450000
2015-07-29,17631.4,17776.78,17629.2,17751.39,93140000
2015-07-30,17743.24,17761.25,17640.85,17745.98,76650000
2015-07-31,17755.87,17783.59,17671.59,17689.86,106120000
2015-08-03,17696.74,17704.76,17496.61,17598.2,87880000
2015-08-04,17596.93,17635.78,17505.5,17550.69,99060000
2015-08-05,17555.24,17661.37,17492.9,17540.47,102450000
2015-08-06,17542.61,17572.04,17362.86,17419.75,96170000
2015-08-07,17414.94,17414.94,17279.08,17373.38,81800000
2015-08-10,17375.18,17629.13,17375.18,17615.17,92430000
2015-08-11,17593.59,17593.59,17352.63,17402.84,103010000
2015-08-12,17382.93,17423.9,17125.81,17402.51,120400000
2015-08-13,17401.64,17481.78,17341.34,17408.25,88550000
2015-08-14,17410.12,17492.9,17394.06,17477.4,82120000
2015-08-17,17472.66,17551.4,17341.72,17545.18,73380000
2015-08-18,17537.3,17568.4,17486.42,17511.34,79900000
2015-08-19,17508.74,17517.19,17282.42,17348.73,104720000
2015-08-20,17345.32,17345.32,16990.69,16990.69,128530000
2015-08-21,16990.69,16990.69,16459.55,16459.75,225170000
2015-08-24,16459.75,16459.75,15370.33,15871.35,293920000
2015-08-25,15882.27,16312.94,15651.24,15666.44,213220000
2015-08-26,15676.26,16303.75,15676.26,16285.51,208420000
2015-08-27,16285.51,16666.69,16285.51,16654.77,171980000
2015-08-28,16649.42,16669.97,16535.18,16643.01,131790000
2015-08-31,16632.02,16632.02,16444.05,16528.03,141440000
2015-09-01,16528.03,16528.03,15979.95,16058.35,171390000
2015-09-02,16058.35,16352.58,16058.35,16351.38,133480000
2015-09-03,16364.34,16550.07,16317.31,16374.76,109730000
2015-09-04,16371.76,16371.76,16026.61,16102.38,127270000
2015-09-08,16109.93,16503.41,16109.93,16492.68,123870000
2015-09-09,16505.04,16664.65,16220.1,16253.57,118790000
2015-09-10,16252.57,16441.94,16212.08,16330.4,122690000
2015-09-11,16330.4,16434.76,16244.65,16433.09,104630000
2015-09-14,16450.86,16450.86,16330.87,16370.96,92660000
2015-09-15,16382.58,16644.11,16382.58,16599.85,93050000
2015-09-16,16599.51,16755.98,16593.9,16739.95,99620000
2015-09-17,16738.08,16933.43,16639.93,16674.74,129600000
2015-09-18,16674.74,16674.74,16343.76,16384.58,341690000
2015-09-21,16406.1,16578.6,16391.88,16510.19,90730000
2015-09-22,16477.45,16477.45,16221.73,16330.47,119010000
2015-09-23,16332.81,16355.29,16211.98,16279.89,86030000
2015-09-24,16257.11,16257.11,16016.36,16201.32,122220000
2015-09-25,16205.07,16465.23,16205.07,16314.67,130790000
2015-09-28,16313.26,16313.26,15981.85,16001.89,139930000
2015-09-29,16001.76,16118.89,15942.37,16049.13,121160000
2015-09-30,16057.08,16297.6,16057.08,16284.7,145740000
2015-10-01,16278.62,16348.87,16073.82,16272.01,111420000
2015-10-02,16258.25,16472.77,16013.66,16472.37,136870000
2015-10-05,16502.1,16798.37,16502.1,16776.43,127660000
2015-10-06,16774.02,16865.09,16746.03,16790.19,120010000
2015-10-07,16805.42,16963.3,16765.0,16912.29,115690000
2015-10-08,16904.17,17081.28,16859.34,17050.75,100730000
2015-10-09,17054.69,17110.88,17027.23,17084.49,103730000
2015-10-12,17082.29,17139.21,17064.58,17131.86,72500000
2015-10-13,17113.55,17172.81,17034.45,17081.89,99400000
2015-10-14,17079.08,17111.38,16887.67,16924.75,120110000
2015-10-15,16944.86,17144.42,16933.57,17141.75,122960000
2015-10-16,17141.75,17220.02,17107.35,17215.97,145880000
2015-10-19,17209.43,17235.95,17129.19,17230.54,118430000
2015-10-20,17228.47,17264.88,17147.99,17217.11,106670000
2015-10-21,17225.93,17314.99,17153.13,17168.61,107100000
2015-10-22,17180.88,17505.18,17180.88,17489.16,152420000
2015-10-23,17525.11,17679.37,17525.11,17646.7,158090000
2015-10-26,17649.57,17660.7,17602.51,17623.05,116660000
2015-10-27,17608.89,17635.18,17540.57,17581.43,113960000
2015-10-28,17586.69,17779.95,17556.71,17779.52,115630000
2015-10-29,17771.5,17786.0,17684.72,17755.8,90300000
2015-10-30,17756.6,17799.96,17662.87,17663.54,149250000
2015-11-02,17672.62,17845.9,17655.02,17828.76,100840000
2015-11-03,17819.74,17977.85,17796.02,17918.15,92290000
2015-11-04,17929.58,17964.12,17828.83,17867.58,99890000
2015-11-05,17871.25,17929.51,17779.19,17863.43,98910000
2015-11-06,17855.22,17912.04,17768.6,17910.33,107450000
2015-11-09,17900.78,17900.78,17667.78,17730.48,121210000
2015-11-10,17724.13,17768.66,17657.72,17758.21,108640000
2015-11-11,17769.5,17807.18,17696.91,17702.22,95230000
2015-11-12,17691.93,17691.93,17443.5,17448.07,113660000
2015-11-13,17439.25,17439.25,17238.89,17245.24,134640000
2015-11-16,17229.94,17483.01,17210.43,17483.01,137590000
2015-11-17,17486.99,17599.33,17451.41,17489.5,167190000
2015-11-18,17485.49,17752.16,17485.49,17737.16,106810000
2015-11-19,17739.83,17772.97,17681.98,17732.75,114630000
2015-11-20,17732.75,17914.34,17732.75,17823.81,153140000
2015-11-23,17823.61,17868.18,17751.53,17792.68,134680000
2015-11-24,17770.9,17862.6,17683.51,17812.19,127170000
2015-11-25,17820.81,17854.92,17801.83,17813.39,82540000
2015-11-27,17806.04,17830.36,17749.32,17813.39,82540000
2015-11-30,17802.84,17837.24,17719.79,17719.92,155560000
2015-12-01,17719.72,17895.5,17719.72,17888.35,103880000
2015-12-02,17883.14,17901.58,17708.2,17729.68,102860000
2015-12-03,17741.57,17780.59,17425.56,17477.67,126990000
2015-12-04,17482.68,17866.47,17482.68,17847.63,137650000
2015-12-07,17845.49,17845.49,17639.25,17730.51,99670000
2015-12-08,17703.99,17703.99,17485.39,17568.0,113720000
2015-12-09,17558.18,17767.69,17403.51,17492.3,122020000
2015-12-10,17493.17,17697.74,17474.66,17574.75,107310000
2015-12-11,17574.75,17574.75,17230.5,17265.21,134510000
2015-12-14,17277.11,17378.02,17138.47,17368.5,142540000
2015-12-15,17374.78,17627.63,17341.18,17524.91,123430000
2015-12-16,17530.85,17784.36,17483.68,17749.09,123790000
2015-12-17,17756.54,17796.76,17493.5,17495.84,115780000
2015-12-18,17495.04,17496.58,17124.31,17128.55,344560000
2015-12-21,17154.94,17272.36,17116.73,17251.62,114910000
2015-12-22,17253.55,17451.11,17242.86,17417.27,91570000
2015-12-23,17427.63,17607.92,17427.63,17602.61,92820000
2015-12-24,17593.26,17606.34,17543.95,17552.17,40350000
2015-12-28,17535.66,17536.9,17437.34,17528.27,59770000
2015-12-29,17547.37,17750.02,17547.37,17720.98,69860000
2015-12-30,17711.94,17714.13,17588.87,17603.87,59760000
2015-12-31,17590.66,17590.66,17421.16,17425.03,93690000
2016-01-04,17405.48,17405.48,16957.63,17148.94,148060000
2016-01-05,17147.5,17195.84,17038.61,17158.66,105750000
2016-01-06,17154.83,17154.83,16817.62,16906.51,120250000
2016-01-07,16888.36,16888.36,16463.63,16514.1,176240000
2016-01-08,16519.17,16651.89,16314.57,16346.45,141850000
2016-01-11,16358.71,16461.85,16232.03,16398.57,127790000
2016-01-12,16419.11,16591.35,16322.07,16516.22,117480000
2016-01-13,16526.63,16593.51,16123.2,16151.41,153530000
2016-01-14,16159.01,16482.05,16075.12,16379.05,158830000
2016-01-15,16354.33,16354.33,15842.11,15988.08,239210000
2016-01-19,16009.45,16171.96,15900.25,16016.02,144360000
2016-01-20,15989.45,15989.45,15450.56,15766.74,191870000
2016-01-21,15768.87,16038.59,15704.66,15882.68,145140000
2016-01-22,15921.1,16136.79,15921.1,16093.51,145850000
2016-01-25,16086.46,16086.46,15880.15,15885.22,123250000
2016-01-26,15893.16,16185.79,15893.16,16167.23,118210000
2016-01-27,16168.74,16235.03,15878.3,15944.46,138350000
2016-01-28,15960.28,16102.14,15863.72,16069.64,130120000
2016-01-29,16090.26,16466.3,16090.26,16466.3,217940000
2016-02-01,16453.63,16510.98,16299.47,16449.18,114450000
